Company Name,Sector,Country,City,Email,Website,Address,Tel/Fax,Unnamed: 8
AMS Quarry and Crusher,Construction,UAE,Sharjah,amsgroup@emirates.net.ae,,P.O.Box 22484,Tel: +971 6-531-1444,
ANC Group,Construction,UAE,Dubai,mail@ancdubai.com,,"Al Quoz Industrial Area, Barsha",Tel: +971 4-340-0004,
ANTA Group,Travel and Tourism,UAE,Ajman,anta@eta-ascon.com,www.anta.ae ,P.O.Box 641,Tel: +971 6-742-2300,
APTEC Holdings,Telecoms and IT,UAE,,sales@apteconline.com,www.apteconline.com,Lulu Building Number 3,Tel: +971 4-369-7111,
ARY Group,Conglomerates,UAE,Dubai,ary@eim.ae,www.arygold.net,P.O.Box 1123,Tel: +971 4-225-1588,
ARY Properties,Real Estate,UAE,Dubai,sales@aryproperties.com,www.aryproperties.com,City Tower 1,Tel: +971 4-331-2126,
ASAS Real Estate Company,Real Estate,UAE,Sharjah,,,C/O Sharjah Islamic Bank,Tel: +971 6-568-1000,
Aabar Petroleum Investments,Oil and Gas,UAE,Abu Dhabi,info@aabar.ae,www.aabar.com,The Ministry of Energy Building,Tel: +971 2-626-4466,
Abba Electronics,Telecoms and IT,UAE,Dubai,abba@emirates.net.ae,www.alabbas.com,P.O.Box 44500,Tel: +971 4-355-4222,
Abbco Group,Real Estate,UAE,Dubai,www.abbcogroup.com,,MM Towers,Tel: +971 4-224-3325,
Abdulla Group,Agriculture and Food,UAE,Abu Dhabi,info@abdullagroup.com.ae,,P.O.Box 31339,Tel: +971 2-666-2800,
Abdulla Nasser and Associates,Conglomerates,UAE,Abu Dhabi,anassera@emirates.net.ae,www.ana-uae.com,Al Nasser Street,Tel: +971 2-632-3500,
Abdulla Sultan Alsharhan Establishment,Conglomerates,UAE,Dubai,,,Real Estate Department Building,Tel: +971 4-266-0417,
Abdulla and Hamad Al Ghurair Investment,Conglomerates,UAE,Dubai,mail@ahinvestment.ae,www.ahinvestment.ae,Airport Road,Tel: +971 4-284-4622,
Abraaj Capital,Financial Services,UAE,Dubai,info@abraaj.com,www.abraaj.com,Emirates Towers Offices,Tel: +971 4-319-1500,
Abu Dhabi Airport Services,Transport,UAE,Abu Dhabi,auhapsvc@emirates.net.ae,www.abudhabiairptsvcs.com/,P.O.Box 3668,Tel: +971 2-505-2001,
Abu Dhabi Airports Company,Transport,UAE,Abu Dhabi,,,"C/O, Department of Civil Aviation, PO Box 20, Abu Dhabi, United Arab Emirates",Tel: +971 2-575-7500,
Abu Dhabi Aviation,Transport,UAE,Abu Dhabi,adava@emirates.ae,www.adaviation.com,P.O.Box 2723,Tel: +971 2-575-8000,
Abu Dhabi Basic Industries Corporation,Mining and Metals,UAE,Abu Dhabi,,www.adbic.ae,Al Khazna Tower,Tel: +971 2-698-8444,
Abu Dhabi Chamber of Commerce and Industry,Services,UAE,Abu Dhabi,services@adcci.gov.ae,www.abudhabichamber.ae,Corniche Road,Tel: +971 2-621-4000,
Abu Dhabi Commercial Bank,Financial Services,UAE,Abu Dhabi,info@adcb.com,www.adcb.com,Al Salam Street,Tel: +971 2-696-2222,
Abu Dhabi Commercial Corporation,Industrial Manufacturing,UAE,Abu Dhabi,adcc@emirates.net.ae,,P.O.Box 4214,Tel: +971 2-621-2828,
Abu Dhabi Company for Onshore Oil Operations,Oil and Gas,UAE,Abu Dhabi,,,P.O.Box 270,Tel: +971 2-604-0000,
Abu Dhabi Cooperative Society,Consumer Goods,UAE,Abu Dhabi,adcoops@eim.ae,www.adcoops.com,P.O.Box 833,Tel: +971 2-673-0517,Tel: +971 2 644-0808
Abu Dhabi Distribution Company,Power and Utilities,UAE,Abu Dhabi,customerservice@addc.ae,www.addc.ae,P.O.Box 219,Tel: +971 2-642-3000,
Abu Dhabi Equipment Company,Industrial Manufacturing,UAE,Abu Dhabi,abdeqmnt@emirates.net.ae,,P.O.Box 4303,Tel: +971 2-5541991,
Abu Dhabi Executive Council,Government,UAE,Abu Dhabi,,,Crown Prince Court Building,Tel: +971 2-608-1684,
Abu Dhabi Fertilizer Industries Company,Basic Materials,UAE,Abu Dhabi,info@adfert.com,www.adfert.com,Municipality Building,Tel: +971 2-551-1700,
Abu Dhabi Financial Services Company,Financial Services,UAE,Abu Dhabi,nbad@dfm.co.ae,,National Bank of Abu Dhabi Building,Tel: +971 2-627-2627,
Abu Dhabi Fund for Development,Financial Services,UAE,Abu Dhabi,,,P.O.Box 814,Tel: +971 2-667-7100,
Abu Dhabi Future Energy Company,Power and Utilities,UAE,Abu Dhabi,sfoulsham@masdar.ae,www.masdar.ae,ADPC Administration Building,Tel: +971 2-698-8000,
Abu Dhabi Gas Industries,Oil and Gas,UAE,Abu Dhabi,info@gasco.ae,www.gasco.ae,GASCO Building,Tel: +971 2-603-0000,
Abu Dhabi Gas Liquefaction Company,Oil and Gas,UAE,Abu Dhabi,,www.adgas.com,P.O.Box 3500,Tel: +971 2-606-1111,
Abu Dhabi General Transport Company,Construction,UAE,Abu Dhabi,gtcmo@emirates.net.ae,,"Mussafah 15, Sanayah",Tel: +971 2-555-5700,
Abu Dhabi Group,Financial Services,UAE,Abu Dhabi,,,-,Fax: +971 4-393-2414,
Abu Dhabi Holding,Financial Services,UAE,Abu Dhabi,adhc@abudhabiholding.ae,www.adh.ae,Al Ghaith Tower,Tel: +971 2-627-7448,
,,,,info@adh.ae,,11th Floor,Fax: +971 2-627-7449,
Abu Dhabi Industrial City,Real Estate,UAE,Abu Dhabi,info@icad.ae,www.icad.ae,Al Musaffah Area,Tel: +971 2-550-0000,
Abu Dhabi International Airport,Transport,UAE,Abu Dhabi,,,P.O.Box 38811,Tel: +971 2-509-5000,
Abu Dhabi International Private School,Services,UAE,Abu Dhabi,aisem@emirates.net.ae,www.aisuae.com,Al Rawda Clinic,Tel: +971 2-443-4433,
Abu Dhabi Investment Authority,Financial Services,UAE,Abu Dhabi,,www.adia.ae,"ADIA Building, 2 Towers",Tel: +971 2-626-6500,
Abu Dhabi Investment Company,Financial Services,UAE,Abu Dhabi,adic@emirates.net.ae,www.adic.ae,Khalidya Street,Tel: +971 2-665-8100,
Abu Dhabi Investment Council,Financial Services,UAE,Abu Dhabi,,,Silver Tower,Tel: +971 2-611-5555,
Abu Dhabi Investment House,Financial Services,UAE,Abu Dhabi,info@adih.ae,www.adih.ae,Al Hana Tower,Tel: +971 2-681-1233,
Abu Dhabi Islamic Bank,Financial Services,UAE,Abu Dhabi,adib@adib.co.ae,www.adib.ae,Najda Street,Tel: +971 2-634-3000,
,,,,customerservice@adib.co.ae,www.e-adib.com,P.O.Box 313,Fax: +971 2-621-9946,
Abu Dhabi Mall,Real Estate,UAE,Abu Dhabi,admall@emirates.net.ae,www.abudhabi-mall.com,Tourist Club Area,Tel: +971 2-645-4858,
Abu Dhabi Marina Mall,Real Estate,UAE,Abu Dhabi,,www.marinamall.ae,Abu Dhabi Break Water,Tel: +971 2-681-8300,
Abu Dhabi Marine Operating Company,Oil and Gas,UAE,Abu Dhabi,,www.adma-opco.com ,ADMA-OPCO Building,Tel: +971 2-606-0000,
Abu Dhabi Maritime and Mercantile International,Conglomerates,UAE,Abu Dhabi,general@admmi.com,www.admmi.com,GMP Travel Building,Tel: +971 2-627-3131,
Abu Dhabi Melamine Industry Company,Oil and Gas,UAE,Abu Dhabi,info@adnoc.ae,,"C/O Abu Dhabi National Oil Company, Al Kornish Street, Adnoc Building, PO Box 898, Abu Dhabi, UAE",Tel: +971 2-602-0000,
Abu Dhabi Metal Pipes and Profiles Industries Complex,Mining and Metals,UAE,Dubai,info@adpico.com,www.adpico.com,2001 Twin Towers,Tel: +971 4-222-2970,
,,,,sales@adpico.com,,P.O.Box 62361,Fax: +971 4-222-3307,
Abu Dhabi Motors,Automotive,UAE,Abu Dhabi,,www.bmw-abudhabi.com,Al Ain Road,Tel: +971 2-558-8000,
Abu Dhabi Municipality and Town Planning Department,Government,UAE,Abu Dhabi,,www.adm.gov.ae,Al Salam Street,Tel: +971 2-678-8888,
Abu Dhabi National Company for Building Materials,Construction,UAE,Abu Dhabi,bildco@eim.ae,www.bildco.co.ae,Al Naser Restaurant Building,Tel: +971 2-645-5500,
Abu Dhabi National Energy Company,Power and Utilities,UAE,Abu Dhabi,info@taqa.ae,www.taqa.ae,"C/O, Abu Dhabi Water and Electricity Authority, PO Box 6120, Abu Dhabi, United Arab Emirates",Tel: +971 2-694-3662,
Abu Dhabi National Exhibitions Company,Services,UAE,Abu Dhabi,adnec@emirates.net.ae,www.adnec.ae,Abu Dhabi Exhibition Center,Tel: +971 2-444-6900,
Abu Dhabi National Hotels Company,Real Estate,UAE,Abu Dhabi,adnh@adnh.com,www.adnh.com,Sheikh Rashed Al Maktoum Road,Tel: +971 2-444-7228,
Abu Dhabi National Industrial Projects,Conglomerates,UAE,Abu Dhabi,adnip@emirates.net.ae,www.adnip.com,P.O.Box 25905,Tel: +971 2-550-0577,
Abu Dhabi National Insurance Company,Financial Services,UAE,Abu Dhabi,adnic@adnic.ae,www.adnic.ae,Sheikh Khalifa Street,Tel: +971 2-626-4000,
Abu Dhabi National Oil Company,Oil and Gas,UAE,Abu Dhabi,info@adnoc.ae,www.adnoc.com,ADNOC Building,Tel: +971 2-602-0000,
Abu Dhabi National Paper Mill,Consumer Goods,UAE,Abu Dhabi,adpaper@emirates.net.ae ,www.pinepaper.com,P.O.Box 27683,Tel: +971 2- 550-1886,
,,,,info@pinepaper.com,,,Fax: +971 2-550-1544,
Abu Dhabi National Pipes and Bags Factory,Basic Materials,UAE,Abu Dhabi,,,P.O.Box 46828,Tel: +971 2-555-4100,
Abu Dhabi National Takaful Company,Financial Services,UAE,Abu Dhabi,info@takaful.ae,www.takaful.ae,Bin Hamooda Building,Tel: +971 2-626-2727,
Abu Dhabi National Tanker Company,Oil and Gas,UAE,Abu Dhabi,adnatco@adnatco.ae,www.adnatco.com,Sheikh Khalifa Energy Complex Takreer Tower,Tel: +971 2-602-8400,
Abu Dhabi Oil Company,Oil and Gas,UAE,Abu Dhabi,,,Abu Dhabi Oil Company Building,Tel: +971 2-666-1100,
Abu Dhabi Oil Refining Company,Oil and Gas,UAE,Abu Dhabi,publicrelations@takreer.com,www.takreer.com,P.O.Box 3593,Tel: +971 2-602-7000,
Abu Dhabi Oilfield Services Establishment,Oil and Gas,UAE,Abu Dhabi,sales@ados.uae.com,www.adosuae.com,Lulu Center Building,Tel: +971 2-678-8800,
Abu Dhabi Petroleum Company,Oil and Gas,UAE,Abu Dhabi,adpcltd@emirates.net.ae,,P.O.Box 26696,Tel: +971 2-627-4288,
Abu Dhabi Petroleum Ports Operating Company,Transport,UAE,Abu Dhabi,info@irshad.ae,www.irshad.ae,Takreer Tower,Tel: +971 2-672-2273,
Abu Dhabi Polymers Company,Oil and Gas,UAE,Abu Dhabi,sales.uae@borouge.com,www.borouge.com,Al Muhairi Tower,Tel: +971 2-631-2333,
Abu Dhabi Ports Company,Transport,UAE,Abu Dhabi,info@dtworld.com,,Sheikh Khalifa Bin Zayed Street,Tel: +971 2-616-0099,
Abu Dhabi Seaports Company,Transport,UAE,Abu Dhabi,info@adsm.co.ae,,-,,
Abu Dhabi Securities Market,Financial Services,UAE,Abu Dhabi,,www.adsm.ae,Al Ghaith Tower,Tel: +971 2-627-7777,
Abu Dhabi Services Office,Transport,UAE,Abu Dhabi,adso@emirates.net.ae,,P.O.Box 746,Tel: +971 2-6335567,
Abu Dhabi Sewerage Services Company,Power and Utilities,UAE,Abu Dhabi,ayesha.alnuaimi@adssc.ae,,P.O.Box 2218,Tel: +971 2-696-2666,
Abu Dhabi Ship Building Company,Industrial Manufacturing,UAE,Abu Dhabi,finance@adsb.ae,www.adsb.net,Musafah Industrial Area,Tel: +971 2-551-0800,
Abu Dhabi Shipping Agency,Transport,UAE,Abu Dhabi,adsaauh@adsa.ae,www.adsa.ae,P.O.Box 46103,Tel: +971 2-644-9100,
,,,,adsaauh@emirates.net.ae,,,Fax: +971 2-644 -7783,
CompanyÃ¿NameÃ¿,SectorÃ¿,CountryÃ¿,CityÃ¿,,Website/Email,Address,Tel/Fax,
Abu Dhabi Terminals,Transport,UAE,Abu Dhabi,,,Mina Street,Tel: +971 2-673-0600,
Abu Dhabi Tourism Authority,Travel and Tourism,UAE,Abu Dhabi,info@abudhabitourism.ae,www.exploreabudhabi.ae,C2 and C3 Buildings,Tel: +971 2-444-0444,
Abu Dhabi Towers Property Investment Company,Real Estate,UAE,Abu Dhabi,eatemad@abudhabitowers.net,www.abudhabitowers.net,Iskan Building,Tel: +971 2-667-5575,
Abu Dhabi Trade Center,Real Estate,UAE,Abu Dhabi,,,P.O.Box 43248,Tel: +971 2-645-4001,
Abu Dhabi Transmission and Despatch Company,Power and Utilities,UAE,Abu Dhabi,,www.transco.ae,P.O.Box 173,Tel: +971 2-641-4000,
Abu Dhabi Travel Bureau,Travel and Tourism,UAE,Abu Dhabi,atb@emirates.net.ae,www.abudhabitravelbureau.com,Bader Tower,Tel: +971 2-633-8700,
Abu Dhabi University,Services,UAE,Abu Dhabi,info@adu.ac.ae,www.adu.ac.ae,"Near Ford Showroom, Maqtaa Bridge",Tel: +971 2-501-5555,
Abu Dhabi Vegetable Oil Company,Agriculture and Food,UAE,Abu Dhabi,advocauh@emirates.net.ae,,Mina Zayed Port Area,Tel: +971 2-673-0747,
Abu Dhabi Water and Electricity Authority,Power and Utilities,UAE,Abu Dhabi,webmaster@adwea.gov.ae,www.adwea.ae,Abu Dhabi Water and Electricity Authority Building,Tel: +971 2-694-3333,
Abu Dhabi Water and Electricity Company,Power and Utilities,UAE,Abu Dhabi,webmaster@adwec.ae,www.adwec.ae,P.O.Box 51111,Tel: +971 2-694-3333,
Abu Hail Shopping Centre,Real Estate,UAE,Dubai,,,P.O.Box 5005,Tel: +971 4-2669600,
Academy of Financial and Banking Studies,Services,UAE,Sharjah,gm-eibfs@eibfs.com,www.eibfs.com/,P.O.Box 4166,Tel: +971 6-572-8880,
Accor Group,Travel and Tourism,UAE,Dubai,,www.accor.com,"2 rue de la Mare Neuve, 91 021 Evry Cedex, France",Tel: +33 1-69368080,
,,,,,www.accorhotels.com,,Tel: +971 4-332-3236,
Actco General Contracting Company,Construction,UAE,Dubai,actco@emirates.net.ae,www.actco.co.ae,Golf Park Offices Building,Tel: +971 4-282-0404,
Adceco Group,Conglomerates,UAE,Abu Dhabi,,www.adcecogroup.com,Adceco Building,Tel: +971 2-673-2111,
,,,,www.imcc.ae/imcc,,Plot 194,Fax: +971 2-673-2112,
,,,,adceco@adcecogroup.com,,Port Zayed Free Zone,,
Adcom Group,Conglomerates,UAE,Abu Dhabi,adcomgrp@emirates.net.ae,,P.O.Box 25298,Tel: +971 2-550-0630,
Addax Education Holdings,Services,UAE,Dubai,www.addaxeducation.com,,Block 19,Tel: +971 4-364-4818,
,,,,info @addaxeducation.com,,Office 314,Fax: +971 4-367-8495,
Admak General Contracting Company,Construction,UAE,Abu Dhabi,admak@emirates.net.ae,,Khalifa Street,Tel: +971 2-554-2200,
Adnoc Distribution,Oil and Gas,UAE,Abu Dhabi,,www.adnoc-dist.ae,Al Salam Street,Tel: +971 2-677-1300,
,,,,Information@adnoc-dist.ae,,P.O.Box 4188,Fax: +971 2-672-2244,
Advanced Business Systems,Telecoms and IT,UAE,Dubai,solutionas@absme.com,www.abs.ae,P.O.Box 53499,Tel: +971 4-295-1444,
Advertising and Marketing Consultants,Media,UAE,Dubai,amc@amcdubai.ae,www.amcco.tv,Alphamed Building,Tel: +971 4-269-4773,
Adyard Abu Dhabi,Oil and Gas,UAE,Abu Dhabi,adyard@adyarduae.com,,Mussafah Building,Tel: +971 2-554-7722,
Aerogulf Services Company,Transport,UAE,Dubai,aerogulf@emirates.net.ae,www.aerogulfservices.com,Dubai International Airport,Tel: +971 4-220-0331,
,,,,ops@aerogulf.ae,,P.O.Box 10566,Fax: +971 4-220-0828,
Aerovista Gulf Express,Transport,UAE,Sharjah,dxb@aerovista.ae,www.aerovista.net,Office B-O,Tel: +971 6-557-0367,
,,,,shj@aerovista.ae,,Sharjah Airport International Free Zone,Fax: +971 6-557-0368,
African and Eastern (Near East),Agriculture and Food,UAE,Dubai,www.aneme.ae,,Enoc Building No. 2,Tel: +971 4-336-6389,
Aggreko Middle East,Services,UAE,Jebel Ali,customer.service@aggreko.ae,www.aggreko.com,Dubai,Tel: +971 4-883-4059,
Agricultural Engineering Company,Industrial Manufacturing,UAE,Al Ain,faroqsnd@emirates.net.ae,,P.O.Box 16015,Tel: +971 3-7661183,
Ahli Steel Company,Mining and Metals,UAE,Dubai,,,Business Avenue Building,Tel: +971 4-285-2288,
Ahmad Bahman,Conglomerates,UAE,Dubai,blankets@emirates.net.ae,,P.O.Box 1145,Tel: +971 4-271-2210,
Ahmad Ramadhan Juma Establishment,Consumer Goods,UAE,Dubai,info@arjgroup.com,www.arjgroup.com,P.O.Box 2574,Tel: +971 4-338-9922,
Ahmad Ramadhan Juma Group,Conglomerates,UAE,Dubai,info@arjgroup.com,www.arjgroup.com,P.O.Box 2574,Tel: +971 4-338-9922,
Ahmed Seddiqi and Sons,Consumer Goods,UAE,Jebel Ali,contact@ahmedseddiqi.com,www.ahmedsaddiqi.ae,Jebel Ali Free Zone,Tel: +971 4-887-1234,
Aikah Establishment for General Trading,Industrial Manufacturing,UAE,Dubai,aikah@emirates.net.ae,www.aikah.com,P.O.Box 5804,Tel: +971 4-347-8005,
Air Arabia,Transport,UAE,Sharjah,contactus@airarabia.com,www.airarabia.com,Cargo Terminal,Tel: +971 6-508-8888,
,,,,sales@airarabia.com,,Sharjah International Airport,Tel: +971 6-558-0000,
Air Gulf Falcon,Transport,UAE,Sharjah,admin@air-gulffalcon.com,,Sharjah International Airport Free Zone,Fax: +971 6-5570516,
Airblast Middle East,Industrial Manufacturing,UAE,Dubai,airebvkk@emirates.net.ae,,P.O.Box 7158,Tel: +971 4-2824200,
Airbus Middle East,Industrial Manufacturing,UAE,Dubai,,,Mezzanine Floor,Tel: +971 4-299-6761,
Ajmal Perfumes,Consumer Goods,UAE,Dubai,info@ajmalperfume.com,www.ajmalperfumes.com,Hamarain Centre,Tel: +971 4-269-0102,
Ajman Beach Hotel,Travel and Tourism,UAE,Ajman,abhotel@emirates.net.ae,,P.O.Box 874,Tel: +971 6-742-3333,
Ajman Cement Company,Construction,UAE,Ajman,ajcement@emirates.net.ae,,P.O.Box 940,Tel: +971 6-744-4424,
Ajman Chamber of Commerce and Industry,Services,UAE,Ajman,ajmchmbr@emirates.net.ae,www.ajcci.co.ae/,P.O.Box 662,Tel: +971 6-7422177,
Ajman Free Zone,Real Estate,UAE,Ajman,info@ajmanfreezone.gov.ae,www.ajmanfreezone.gov.ae,"Ajman Free Trade Zone, Area 1",Tel: +971 6-742-5444,
Ajman Municipality and Planning Department,Government,UAE,Ajman,www.am.gov.ae,,Ajman Municipality Building,Tel: +971 6-742-2331,
Ajman Sewerage (Private) Company,Power and Utilities,UAE,Ajman,,,P.O.Box 4686,Tel: +971 6-714-8888,
Ajman University of Science and Technology,Services,UAE,Ajman,info@ajman.ac.ae,www.ajman.ac.ae,Al Jurf,Tel: +971 6-746-6666,
Al Aan TV,Media,UAE,Dubai,info@alaan.tv,www.alaan.tv,Al Aan Television Building,Tel: +971 4-369-2087,
Al Abbas Group,Conglomerates,UAE,Dubai,group@alabbas.com,www.alabbas.com,Al Abbas Building 2,Tel: +971 4-352-1000,
Al Abbas Technical Supplies and Services,Telecoms and IT,UAE,Dubai,atssdxb@emirates.net.ae,www.alabbas.com,P.O.Box 10172,Tel: +971 4-285-8555,
Al Abbas Trading Company,Telecoms and IT,UAE,Dubai,atcodb@emirates.net.ae,,Al Abbas Building,Tel: +971 4-352-0888,
,,,,voseban@alabbas.com,,Khalid Bin Walid Street,Fax: +971 4-359-4141,
Al Accad General Trading Company,Conglomerates,UAE,Dubai,alaccadh@emirates.net.ae,www.alaccad.com,Al Khabeesi Building,Tel: +971 4-222-0111,
Al Ahli Electrical Trading,Industrial Manufacturing,UAE,Ajman,alahli@emirates.net.ae,,P.O.Box 2335,Tel: +971 6-7455722,
Al Ahli General Trading Company,Agriculture and Food,UAE,Fujairah,agtcfuj@emirates.net.ae,,Nasser Khammas Building,Tel: +971 9-222-6663,
Al Ahli Plastic Industries,Basic Materials,UAE,Fujairah,alahliplastics@alahliplastics.com,www.alahliplastics.com,Street Number 4,Tel: +971 9-222-3972,
Al Ahlia General Trading Company,Agriculture and Food,UAE,Abu Dhabi,agtc2003@emirates.net.ae,,Arabian Gulf Street,Tel: +971 2-681-1600,
,,,,aoadsha@emirates.net.ae,,P.O.Box 4033,Tel: +971 2-681-3335,
Al Ahlia Oilfields Development Company - UAE,Oil and Gas,UAE,Abu Dhabi,aedco@emirates.net.ae,,Sheikh Saif Building,Tel: +971 2-681-3309,
Al Ahmadiah Contracting and Trading,Construction,UAE,Dubai,ahmadiah@emirates.net.ae,www.alahmadiah.ae,P.O.Box 2596,Tel: +971 4-398-1999,
Al Ain Ahlia Insurance Company,Financial Services,UAE,,alainins@emirates.net.ae,www.alaininsurance.com,P.O.Box 3077,Tel: +971 2-445-9900,
Al Ain Building and Construction Company,Construction,UAE,Abu Dhabi,,,Hamdan Street,Tel: +971 2-674-2777,
Al Ain Dairy Farms,Agriculture and Food,UAE,Al Ain,dairyfrm@emirates.net.ae,www.alaindairyuae.com,P.O.Box 15571,Tel: +971 3-783-2111,
Al Ain Distribution Company,Power and Utilities,UAE,Al Ain,aadc@aadc.cc,www.aadc.ae,Al Jimi,Tel: +971 3-763-6000,
Al Ain General Contracting Company,Construction,UAE,Al Ain,alain@algeco.ae,www.algeco.ae,Mazyad Street,Tel: +971 3-782-5606,
,,,,info@algeco.ae,,Mazyad Companies Compound,Fax: +971 3-782-5246,
Al Ain Mineral Water Company,Agriculture and Food,UAE,Al Ain,amwbf@emirates.net.ae,www.alainwater.com,Khatem Al Shakla Street,Tel: +971 3-768-6500,
Al Ain Printing Press and Stationery,Services,UAE,Abu Dhabi,,,P.O.Box 3753,Tel: +971 2-4454538,
Al Ain Vegetable Canning and Processing Factory,Agriculture and Food,UAE,Al Ain,aanvpcf@emirates.net.ae,www.aanvpcf.com/,P.O.Box 1004,Tel: +971 3-7372188,
Al Amar Engineering and Contracting Company,Construction,UAE,Dubai,alamar@emirates.net.ae,,P.O.Box 2449,Tel: +971 4-2857152,
Al Ansari Exchange,Financial Services,UAE,Abu Dhabi,info@alansari.ae,www.alansariuae.com,Al Amin Building,Tel: +971 2-622-7888,
Al Ansari Financial Services,Financial Services,UAE,Abu Dhabi,admin@alansari.financial.ae,,P.O.Box 325,Tel: +971 2-622-7888,
Al Aqariya Group,Media,UAE,Dubai,suggestions@alaqariya.tv,www.aqariya.tv,"Villa Boutique, Number 10",Tel: +971 4-367-1717,
Al Aqili Group,Conglomerates,UAE,Dubai,aqili@emirates.net.ae,www.aqili.com,P.O.Box 1496,Tel: +971 4-324-8000,
Al Arabiya News Channel,Media,UAE,Dubai,contactus@alarabiya.net,www.alarabiya.net,Dubai Media City,Tel: +971 4-390-1000,
Al Aryan for Prefabricated Houses,Mining and Metals,UAE,Sharjah,,,P.O.Box 6025,Tel: +971 6-5341652,
Al Ashram Contracting Company,Construction,UAE,Dubai,,,Saif Abdur-rahman Alashram Bldg,Tel: +971 4-2857812,
Al Attar Properties,Real Estate,UAE,Dubai,info@alattargroup.com,www.alattargroup.com,Al Attar Business Tower,Tel: +971 4-332-2233,
Al Badawi Electrical Supply Company,Industrial Manufacturing,UAE,Dubai,mazenbas@emirates.net.ae,,P.O.Box 1143,Tel: +971 4-2620624,
Al Baddad International Group,Conglomerates,UAE,Sharjah,info@albaddad.com,www.al-baddad.com ,Industrial Area 15,Tel: +971 6-534-0888,
Al Badie Group,Conglomerates,UAE,Abu Dhabi,secretary@albadie.com,www.albadie.com,Al Badie Tower,Tel: +971 2-632-2344,
Al Badr Islamic Finance Company,Financial Services,UAE,Dubai,info@badralislami.com,www.badralislami.com,Al Masood Building,Tel: +971 4-217-4400,
Al Badri Traders,Oil and Gas,UAE,Abu Dhabi,albadri1@emirates.net.ae,www.albadri.co.ae/,-,Tel: +971 2-678-9956,
