Company Name,Sector,Country,City,Email,Website,Address,Tel/Fax,
ASAS Real Estate Company,Real Estate,UAE,Sharjah,,,C/O Sharjah Islamic Bank,Tel: +971 6-568-1000,
Aabar Petroleum Investments,Oil and Gas,UAE,Abu Dhabi,info@aabar.ae,www.aabar.com,The Ministry of Energy Building,Tel: +971 2-626-4466,
Abba Electronics,Telecoms and IT,UAE,Dubai,abba@emirates.net.ae,www.alabbas.com,P.O.Box 44500,Tel: +971 4-355-4222,
Abbco Group,Real Estate,UAE,Dubai,www.abbcogroup.com,,MM Towers,Tel: +971 4-224-3325,
Abdulla Group,Agriculture and Food,UAE,Abu Dhabi,info@abdullagroup.com.ae,,P.O.Box 31339,Tel: +971 2-666-2800,
Abdulla Nasser and Associates,Conglomerates,UAE,Abu Dhabi,anassera@emirates.net.ae,www.ana-uae.com,Al Nasser Street,Tel: +971 2-632-3500,
Abdulla Sultan Alsharhan Establishment,Conglomerates,UAE,Dubai,,,Real Estate Department Building,Tel: +971 4-266-0417,
Abdulla and Hamad Al Ghurair Investment,Conglomerates,UAE,Dubai,mail@ahinvestment.ae,www.ahinvestment.ae,Airport Road,Tel: +971 4-284-4622,
Abraaj Capital,Financial Services,UAE,Dubai,info@abraaj.com,www.abraaj.com,Emirates Towers Offices,Tel: +971 4-319-1500,
Abu Dhabi Airport Services,Transport,UAE,Abu Dhabi,auhapsvc@emirates.net.ae,www.abudhabiairptsvcs.com/,P.O.Box 3668,Tel: +971 2-505-2001,
Abu Dhabi Airports Company,Transport,UAE,Abu Dhabi,,,"C/O, Department of Civil Aviation, PO Box 20, Abu Dhabi, United Arab Emirates",Tel: +971 2-575-7500,
Abu Dhabi Aviation,Transport,UAE,Abu Dhabi,adava@emirates.ae,www.adaviation.com,P.O.Box 2723,Tel: +971 2-575-8000,
Abu Dhabi Basic Industries Corporation,Mining and Metals,UAE,Abu Dhabi,,www.adbic.ae,Al Khazna Tower,Tel: +971 2-698-8444,
Abu Dhabi Chamber of Commerce and Industry,Services,UAE,Abu Dhabi,services@adcci.gov.ae,www.abudhabichamber.ae,Corniche Road,Tel: +971 2-621-4000,
Abu Dhabi Commercial Bank,Financial Services,UAE,Abu Dhabi,info@adcb.com,www.adcb.com,Al Salam Street,Tel: +971 2-696-2222,
Abu Dhabi Commercial Corporation,Industrial Manufacturing,UAE,Abu Dhabi,adcc@emirates.net.ae,,P.O.Box 4214,Tel: +971 2-621-2828,
Abu Dhabi Company for Onshore Oil Operations,Oil and Gas,UAE,Abu Dhabi,,,P.O.Box 270,Tel: +971 2-604-0000,
Abu Dhabi Cooperative Society,Consumer Goods,UAE,Abu Dhabi,adcoops@eim.ae,www.adcoops.com,P.O.Box 833,Tel: +971 2-673-0517,Tel: +971 2 644-0808
Abu Dhabi Distribution Company,Power and Utilities,UAE,Abu Dhabi,customerservice@addc.ae,www.addc.ae,P.O.Box 219,Tel: +971 2-642-3000,
Abu Dhabi Equipment Company,Industrial Manufacturing,UAE,Abu Dhabi,abdeqmnt@emirates.net.ae,,P.O.Box 4303,Tel: +971 2-5541991,
,,,,,,,Fax: 02-5554614,
Abu Dhabi Executive Council,Government,UAE,Abu Dhabi,,,Crown Prince Court Building,Tel: +971 2-608-1684,
,,,,,,Al Bayouna Street,Tel: +971 2-665-1200,
,,,,,,P.O.Box 19,Fax: +971 2-666-9733,
Abu Dhabi Fertilizer Industries Company,Basic Materials,UAE,Abu Dhabi,info@adfert.com,www.adfert.com,Municipality Building,Tel: +971 2-551-1700,
,,,,,,Musafah Industrial Area,Fax: +971 2-551-1702,
,,,,,,P.O.Box 71871,,
Abu Dhabi Financial Services Company,Financial Services,UAE,Abu Dhabi,nbad@dfm.co.ae,,National Bank of Abu Dhabi Building,Tel: +971 2-627-2627,
,,,,,,Al Corniche Street,Fax: +971 2-627-2975,
,,,,,,P.O.Box 28400,,
Abu Dhabi Fund for Development,Financial Services,UAE,Abu Dhabi,,,P.O.Box 814,Tel: +971 2-667-7100,
,,,,,,,Fax: +971 2-667-7070,
Abu Dhabi Future Energy Company,Power and Utilities,UAE,Abu Dhabi,sfoulsham@masdar.ae,www.masdar.ae,ADPC Administration Building,Tel: +971 2-698-8000,
,,,,,,2nd Floor,Fax: +971 2-698-8001,
,,,,,,Mina Road,,
,,,,,,P.O.Box 45005,,
Abu Dhabi Gas Industries,Oil and Gas,UAE,Abu Dhabi,info@gasco.ae,www.gasco.ae,GASCO Building,Tel: +971 2-603-0000,
,,,,,,Khalifa Street,Fax: +971 2-603-7414,
,,,,,,Sheikh Khalifa Compound for Power,,
,,,,,,P.O.Box 665,,
Abu Dhabi Gas Liquefaction Company,Oil and Gas,UAE,Abu Dhabi,,www.adgas.com,P.O.Box 3500,Tel: +971 2-606-1111,
,,,,,,,Fax: +971 2-606-5456,
,,,,,,,Fax: +971 2-606-5500,
Abu Dhabi General Transport Company,Construction,UAE,Abu Dhabi,gtcmo@emirates.net.ae,,"Mussafah 15, Sanayah",Tel: +971 2-555-5700,
,,,,,,P.O.Box 493,Fax: +971 2-555-4861,
Abu Dhabi Group,Financial Services,UAE,Abu Dhabi,,,-,Fax: +971 4-393-2414,
Abu Dhabi Holding,Financial Services,UAE,Abu Dhabi,adhc@abudhabiholding.ae,www.adh.ae,Al Ghaith Tower,Tel: +971 2-627-7448,
,,,,info@adh.ae,,11th Floor,Fax: +971 2-627-7449,
,,,,,,Hamdan Street,,
,,,,,,P.O.Box 33486,,
Abu Dhabi Industrial City,Real Estate,UAE,Abu Dhabi,info@icad.ae,www.icad.ae,Al Musaffah Area,Tel: +971 2-550-0000,
,,,,,,P.O.Box 36000,Fax: +971 2-550-1555,
Abu Dhabi International Airport,Transport,UAE,Abu Dhabi,,,P.O.Box 38811,Tel: +971 2-509-5000,
,,,,,,,Tel: +971 2-575-7500,
,,,,,,,Fax: +971 2-509-5095,
,,,,,,,Fax: +971 2-575-7285,
Abu Dhabi International Private School,Services,UAE,Abu Dhabi,aisem@emirates.net.ae,www.aisuae.com,Al Rawda Clinic,Tel: +971 2-443-4433,
,,,,,,Karma Street,Fax: +971 2-443-6052,
,,,,,,P.O.Box 25898,,
Abu Dhabi Investment Authority,Financial Services,UAE,Abu Dhabi,,www.adia.ae,"ADIA Building, 2 Towers",Tel: +971 2-626-6500,
,,,,,,125 Corniche Street,Fax: +971 2-627-4605,
,,,,,,P.O.Box 3600,,
Abu Dhabi Investment Company,Financial Services,UAE,Abu Dhabi,adic@emirates.net.ae,www.adic.ae,Khalidya Street,Tel: +971 2-665-8100,
,,,,,,P.O.Box 46309,Fax: +971 2-665-0575,
Abu Dhabi Investment Council,Financial Services,UAE,Abu Dhabi,,,Silver Tower,Tel: +971 2-611-5555,
,,,,,,Corniche Street,Tel: +971 2-626-2266,
,,,,,,P.O.Box 61999,Tel: +971 2-627-7900,
,,,,,,,Fax: +971 2-627-7300,
Abu Dhabi Investment House,Financial Services,UAE,Abu Dhabi,info@adih.ae,www.adih.ae,Al Hana Tower,Tel: +971 2-681-1233,
,,,,,,Mezanine Floor,Fax: +971 2-681-1844,
,,,,,,Corniche Road,,
,,,,,,P.O.Box 106699,,
Abu Dhabi Islamic Bank,Financial Services,UAE,Abu Dhabi,adib@adib.co.ae,www.adib.ae,Najda Street,Tel: +971 2-634-3000,
,,,,customerservice@adib.co.ae,www.e-adib.com,P.O.Box 313,Fax: +971 2-621-9946,
,,,,,,,,
,,,,,,,,
Abu Dhabi Mall,Real Estate,UAE,Abu Dhabi,admall@emirates.net.ae,www.abudhabi-mall.com,Tourist Club Area,Tel: +971 2-645-4858,
,,,,,,P.O.Box 54154,Fax: +971 2-645-7737,
Abu Dhabi Marina Mall,Real Estate,UAE,Abu Dhabi,,www.marinamall.ae,Abu Dhabi Break Water,Tel: +971 2-681-8300,
,,,,,,P.O.Box 42681,Fax: +971 2-681-8668,
Abu Dhabi Marine Operating Company,Oil and Gas,UAE,Abu Dhabi,,www.adma-opco.com ,ADMA-OPCO Building,Tel: +971 2-606-0000,
,,,,,,Corniche Street,Fax: +971 2-626-6005,
,,,,,,P.O.Box 303,,
Abu Dhabi Maritime and Mercantile International,Conglomerates,UAE,Abu Dhabi,general@admmi.com,www.admmi.com,GMP Travel Building,Tel: +971 2-627-3131,
,,,,,,Calissa Street,Fax: +971 2-626-9661,
,,,,,,P.O.Box 247,,
Abu Dhabi Melamine Industry Company,Oil and Gas,UAE,Abu Dhabi,info@adnoc.ae,,"C/O Abu Dhabi National Oil Company, Al Kornish Street, Adnoc Building, PO Box 898, Abu Dhabi, UAE",Tel: +971 2-602-0000,
,,,,,,,Fax: +971 2-602-3389,
Abu Dhabi Metal Pipes and Profiles Industries Complex,Mining and Metals,UAE,Dubai,info@adpico.com,www.adpico.com,2001 Twin Towers,Tel: +971 4-222-2970,
,,,,sales@adpico.com,,P.O.Box 62361,Fax: +971 4-222-3307,
,,,,,,,,
Abu Dhabi Motors,Automotive,UAE,Abu Dhabi,,www.bmw-abudhabi.com,Al Ain Road,Tel: +971 2-558-8000,
,,,,,,Sheikh Mohammed bin Buti Al Hamid Building,Fax: +971 2-558-9722,
,,,,,,P.O.Box 46468,,
Abu Dhabi Municipality and Town Planning Department,Government,UAE,Abu Dhabi,,www.adm.gov.ae,Al Salam Street,Tel: +971 2-678-8888,
,,,,,,P.O.Box 263,Fax: +971 2-678-8888,
Abu Dhabi National Company for Building Materials,Construction,UAE,Abu Dhabi,bildco@eim.ae,www.bildco.co.ae,Al Naser Restaurant Building,Tel: +971 2-645-5500,
,,,,,,1st Floor,Fax: +971 2-645-5544,
,,,,,,Salam Street,,
,,,,,,P.O.Box 2443,,
Abu Dhabi National Energy Company,Power and Utilities,UAE,Abu Dhabi,info@taqa.ae,www.taqa.ae,"C/O, Abu Dhabi Water and Electricity Authority, PO Box 6120, Abu Dhabi, United Arab Emirates",Tel: +971 2-694-3662,
,,,,,,,Fax: +971 2-642-2555,
Abu Dhabi National Exhibitions Company,Services,UAE,Abu Dhabi,adnec@emirates.net.ae,www.adnec.ae,Abu Dhabi Exhibition Center,Tel: +971 2-444-6900,
,,,,,,Al Mosafah Road,Fax: +971 2-444-6135,
,,,,,,P.O.Box 5546,,
Abu Dhabi National Hotels Company,Real Estate,UAE,Abu Dhabi,adnh@adnh.com,www.adnh.com,Sheikh Rashed Al Maktoum Road,Tel: +971 2-444-7228,
,,,,,,P.O.Box 46806,Fax: +971 2-444-8495,
Abu Dhabi National Industrial Projects,Conglomerates,UAE,Abu Dhabi,adnip@emirates.net.ae,www.adnip.com,P.O.Box 25905,Tel: +971 2-550-0577,
,,,,,,,Fax: +971 2-550-0533,
Abu Dhabi National Insurance Company,Financial Services,UAE,Abu Dhabi,adnic@adnic.ae,www.adnic.ae,Sheikh Khalifa Street,Tel: +971 2-626-4000,
,,,,,,P.O.Box 839,Fax: +971 2-626-8600,
Abu Dhabi National Oil Company,Oil and Gas,UAE,Abu Dhabi,info@adnoc.ae,www.adnoc.com,ADNOC Building,Tel: +971 2-602-0000,
,,,,,,Al Kornish Street,Fax: +971 2-602-3389,
,,,,,,P.O.Box 898,,
Abu Dhabi National Paper Mill,Consumer Goods,UAE,Abu Dhabi,adpaper@emirates.net.ae ,www.pinepaper.com,P.O.Box 27683,Tel: +971 2- 550-1886,
,,,,info@pinepaper.com,,,Fax: +971 2-550-1544,
,,,,,,,,
Abu Dhabi National Pipes and Bags Factory,Basic Materials,UAE,Abu Dhabi,,,P.O.Box 46828,Tel: +971 2-555-4100,
,,,,,,,Fax: +971 2-555-4531,
Abu Dhabi National Takaful Company,Financial Services,UAE,Abu Dhabi,info@takaful.ae,www.takaful.ae,Bin Hamooda Building,Tel: +971 2-626-2727,
,,,,,,1st Floor,Fax: +971 2-626-0777,
,,,,,,Al Khaleefa Street,,
,,,,,,P.O.Box 35335,,
Abu Dhabi National Tanker Company,Oil and Gas,UAE,Abu Dhabi,adnatco@adnatco.ae,www.adnatco.com,Sheikh Khalifa Energy Complex Takreer Tower,Tel: +971 2-602-8400,
,,,,,,11th and 12th Floor,Fax: +971 2-602-8323,
,,,,,,Khalifa Street,,
,,,,,,P.O.Box 2977,,
Abu Dhabi Oil Company,Oil and Gas,UAE,Abu Dhabi,,,Abu Dhabi Oil Company Building,Tel: +971 2-666-1100,
,,,,,,Zayed the 1st Street,Fax: +971 2-666-1327,
,,,,,,P.O.Box 630,,
Abu Dhabi Oil Refining Company,Oil and Gas,UAE,Abu Dhabi,publicrelations@takreer.com,www.takreer.com,P.O.Box 3593,Tel: +971 2-602-7000,
,,,,,,,Fax: +971 2-602-7001,
Abu Dhabi Oilfield Services Establishment,Oil and Gas,UAE,Abu Dhabi,sales@ados.uae.com,www.adosuae.com,Lulu Center Building,Tel: +971 2-678-8800,
,,,,,,13th Floor,Fax: +971 2-678-7678,
,,,,,,Salam Street,,
,,,,,,Mussafah Industrial Area,,
,,,,,,P.O.Box 4015,,
Abu Dhabi Petroleum Company,Oil and Gas,UAE,Abu Dhabi,adpcltd@emirates.net.ae,,P.O.Box 26696,Tel: +971 2-627-4288,
,,,,,,,Fax: +971 2-626-8248,
Abu Dhabi Petroleum Ports Operating Company,Transport,UAE,Abu Dhabi,info@irshad.ae,www.irshad.ae,Takreer Tower,Tel: +971 2-672-2273,
,,,,,,7th Floor,Fax: +971 2-672-2422,
,,,,,,Al Corniche Street,,
,,,,,,P.O.Box 61,,
Abu Dhabi Polymers Company,Oil and Gas,UAE,Abu Dhabi,sales.uae@borouge.com,www.borouge.com,Al Muhairi Tower,Tel: +971 2-631-2333,
,,,,,,Khaldia Street,Fax: +971 2 631-2999,
,,,,,,P.O.Box 6925,,
Abu Dhabi Ports Company,Transport,UAE,Abu Dhabi,info@dtworld.com,,Sheikh Khalifa Bin Zayed Street,Tel: +971 2-616-0099,
,,,,,,P.O.Box 45005,Tel: +971 2-673-0600,
,,,,,,,Fax: +971 2-673-1870,
Abu Dhabi Seaports Company,Transport,UAE,Abu Dhabi,info@adsm.co.ae,,-,,
Abu Dhabi Securities Market,Financial Services,UAE,Abu Dhabi,,www.adsm.ae,Al Ghaith Tower,Tel: +971 2-627-7777,
,,,,,,Hamdan Street,Fax: +971 2-627-0300,
,,,,,,P.O.Box 54500,,
Abu Dhabi Services Office,Transport,UAE,Abu Dhabi,adso@emirates.net.ae,,P.O.Box 746,Tel: +971 2-6335567,
,,,,,,,Fax: 02-6215529,
,,,,,,,Fax: 02-6344886,
Abu Dhabi Sewerage Services Company,Power and Utilities,UAE,Abu Dhabi,ayesha.alnuaimi@adssc.ae,,P.O.Box 2218,Tel: +971 2-696-2666,
,,,,,,,Fax: +971 2-676-1200,
Abu Dhabi Ship Building Company,Industrial Manufacturing,UAE,Abu Dhabi,finance@adsb.ae,www.adsb.net,Musafah Industrial Area,Tel: +971 2-551-0800,
,,,,,,P.O.Box 8922,Fax: +971 2-551-0634,
,,,,,,,Fax: +971 2-551-0939,
Abu Dhabi Shipping Agency,Transport,UAE,Abu Dhabi,adsaauh@adsa.ae,www.adsa.ae,P.O.Box 46103,Tel: +971 2-644-9100,
,,,,adsaauh@emirates.net.ae,,,Fax: +971 2-644 -7783,
,,,,,,,,
CompanyÿNameÿ,Sectorÿ,Countryÿ,Cityÿ,,Website/Email,Address,Tel/Fax,
Abu Dhabi Terminals,Transport,UAE,Abu Dhabi,,,Mina Street,Tel: +971 2-673-0600,
,,,,,,Mohandessein,Fax: +971 2-673-0432,
,,,,,,P.O.Box 422,,
Abu Dhabi Tourism Authority,Travel and Tourism,UAE,Abu Dhabi,info@abudhabitourism.ae,www.exploreabudhabi.ae,C2 and C3 Buildings,Tel: +971 2-444-0444,
,,,,,,Al Salam Street,Fax: +971 2-444-0400,
,,,,,,P.O.Box 94000,,
Abu Dhabi Towers Property Investment Company,Real Estate,UAE,Abu Dhabi,eatemad@abudhabitowers.net,www.abudhabitowers.net,Iskan Building,Tel: +971 2-667-5575,
,,,,,,"6th Floor, Office 403",Fax: +971 2-667-6557,
,,,,,,Khaldiyah Area,,
,,,,,,P.O.Box 26180,,
Abu Dhabi Trade Center,Real Estate,UAE,Abu Dhabi,,,P.O.Box 43248,Tel: +971 2-645-4001,
,,,,,,,Fax: +971 2-645-4002,
Abu Dhabi Transmission and Despatch Company,Power and Utilities,UAE,Abu Dhabi,,www.transco.ae,P.O.Box 173,Tel: +971 2-641-4000,
,,,,,,,Fax: +971 2-642-6333,
Abu Dhabi Travel Bureau,Travel and Tourism,UAE,Abu Dhabi,atb@emirates.net.ae,www.abudhabitravelbureau.com,Bader Tower,Tel: +971 2-633-8700,
,,,,,,Corniche Road,Fax: +971 2-634-6020,
,,,,,,P.O.Box 278,Fax: +971 2-665-8980,
Abu Dhabi University,Services,UAE,Abu Dhabi,info@adu.ac.ae,www.adu.ac.ae,"Near Ford Showroom, Maqtaa Bridge",Tel: +971 2-501-5555,
,,,,,,P.O.Box 59911,Fax: +971 2-558-9560,
,,,,,,,Fax: +971 2-586-0173,
Abu Dhabi Vegetable Oil Company,Agriculture and Food,UAE,Abu Dhabi,advocauh@emirates.net.ae,,Mina Zayed Port Area,Tel: +971 2-673-0747,
,,,,,,P.O.Box 7125,Fax: +971 2-673-2410,
Abu Dhabi Water and Electricity Authority,Power and Utilities,UAE,Abu Dhabi,webmaster@adwea.gov.ae,www.adwea.ae,Abu Dhabi Water and Electricity Authority Building,Tel: +971 2-694-3333,
,,,,,,Al Najda Street,Fax: +971 2-694-3192,
,,,,,,P.O.Box 6120,,
Abu Dhabi Water and Electricity Company,Power and Utilities,UAE,Abu Dhabi,webmaster@adwec.ae,www.adwec.ae,P.O.Box 51111,Tel: +971 2-694-3333,
,,,,,,,Fax: +971 2-642-5773,
Abu Hail Shopping Centre,Real Estate,UAE,Dubai,,,P.O.Box 5005,Tel: +971 4-2669600,
,,,,,,,Fax: 04-2651783,
,,,,,,,Fax: 04-2695722,
Academy of Financial and Banking Studies,Services,UAE,Sharjah,gm-eibfs@eibfs.com,www.eibfs.com/,P.O.Box 4166,Tel: +971 6-572-8880,
,,,,,,,Fax: +971 6-572-8080,
Accor Group,Travel and Tourism,UAE,Dubai,,www.accor.com,"2 rue de la Mare Neuve, 91 021 Evry Cedex, France",Tel: +33 1-69368080,
,,,,,www.accorhotels.com,,Tel: +971 4-332-3236,
,,,,,,"PO Box 111679, Dubai, United Arab Emirates",Fax: +33 1-69367900,
,,,,,,P.O.Box 111679,Fax: +971 4-332-3246,
Actco General Contracting Company,Construction,UAE,Dubai,actco@emirates.net.ae,www.actco.co.ae,Golf Park Offices Building,Tel: +971 4-282-0404,
,,,,,,Garhoud Road,Fax: +971 4-286-9145,
,,,,,,P.O.Box 4694,,
Adceco Group,Conglomerates,UAE,Abu Dhabi,,www.adcecogroup.com,Adceco Building,Tel: +971 2-673-2111,
,,,,www.imcc.ae/imcc,,Plot 194,Fax: +971 2-673-2112,
,,,,adceco@adcecogroup.com,,Port Zayed Free Zone,,
,,,,,,P.O.Box 47029,,
Adcom Group,Conglomerates,UAE,Abu Dhabi,adcomgrp@emirates.net.ae,,P.O.Box 25298,Tel: +971 2-550-0630,
,,,,,,,Fax: +971 2-550-0631,
Addax Education Holdings,Services,UAE,Dubai,www.addaxeducation.com,,Block 19,Tel: +971 4-364-4818,
,,,,info @addaxeducation.com,,Office 314,Fax: +971 4-367-8495,
,,,,,,Knowledge Village,,
,,,,,,P.O.Box 502930,,
Admak General Contracting Company,Construction,UAE,Abu Dhabi,admak@emirates.net.ae,,Khalifa Street,Tel: +971 2-554-2200,
,,,,,,P.O.Box 650,Tel: +971 2-626-4626,
,,,,,,,Fax: +971 2-554-3134,
,,,,,,,Fax: +971 2-626-4636,
Adnoc Distribution,Oil and Gas,UAE,Abu Dhabi,,www.adnoc-dist.ae,Al Salam Street,Tel: +971 2-677-1300,
,,,,Information@adnoc-dist.ae,,P.O.Box 4188,Fax: +971 2-672-2244,
,,,,,,,Fax: +971 2-672-2322,
Advanced Business Systems,Telecoms and IT,UAE,Dubai,solutionas@absme.com,www.abs.ae,P.O.Box 53499,Tel: +971 4-295-1444,
,,,,,,,Fax: +971 4-295-1138,
Advertising and Marketing Consultants,Media,UAE,Dubai,amc@amcdubai.ae,www.amcco.tv,Alphamed Building,Tel: +971 4-269-4773,
,,,,,,1st Floor,Fax: +971 4-269-5965,
,,,,,,Abou Hael Street,,
,,,,,,Deira,,
,,,,,,P.O.Box 50324,,
Adyard Abu Dhabi,Oil and Gas,UAE,Abu Dhabi,adyard@adyarduae.com,,Mussafah Building,Tel: +971 2-554-7722,
,,,,,,P.O.Box 7604,Fax: +971 2-554-6767,
,,,,,,,Fax: +971 2-555-4453,
Aerogulf Services Company,Transport,UAE,Dubai,aerogulf@emirates.net.ae,www.aerogulfservices.com,Dubai International Airport,Tel: +971 4-220-0331,
,,,,ops@aerogulf.ae,,P.O.Box 10566,Fax: +971 4-220-0828,
,,,,,,,,
Aerovista Gulf Express,Transport,UAE,Sharjah,dxb@aerovista.ae,www.aerovista.net,Office B-O,Tel: +971 6-557-0367,
,,,,shj@aerovista.ae,,Sharjah Airport International Free Zone,Fax: +971 6-557-0368,
,,,,,,P.O.Box 7845,,
African and Eastern (Near East),Agriculture and Food,UAE,Dubai,www.aneme.ae,,Enoc Building No. 2,Tel: +971 4-336-6389,
,,,,,,4th Floor,Tel: +971 4-409-0500,
,,,,,,Sheikh Rashed Road,Fax: +971 4-336-6905,
,,,,,,Karama Area,Fax: +971 4-337-0399,
,,,,,,P.O.Box 32321,,
Aggreko Middle East,Services,UAE,Jebel Ali,customer.service@aggreko.ae,www.aggreko.com,Dubai,Tel: +971 4-883-4059,
,,,,,,P.O.Box 17576,Fax: +971 4-883-4145,
Agricultural Engineering Company,Industrial Manufacturing,UAE,Al Ain,faroqsnd@emirates.net.ae,,P.O.Box 16015,Tel: +971 3-7661183,
,,,,,,,Fax: 03-7666428,
Ahli Steel Company,Mining and Metals,UAE,Dubai,,,Business Avenue Building,Tel: +971 4-285-2288,
,,,,,,Room 818,Tel: +971 4-295-5440,
,,,,,,P.O.Box 2302,Fax: +971 4-285-0295,
,,,,,,,Fax: +971 4-295-5220,
Ahmad Bahman,Conglomerates,UAE,Dubai,blankets@emirates.net.ae,,P.O.Box 1145,Tel: +971 4-271-2210,
,,,,,,,Tel: +971 4-272-3682,
,,,,,,,Fax: +971 4-271-7311,
,,,,,,,Fax: +971 4-272-3789,
Ahmad Ramadhan Juma Establishment,Consumer Goods,UAE,Dubai,info@arjgroup.com,www.arjgroup.com,P.O.Box 2574,Tel: +971 4-338-9922,
,,,,,,,Fax: +971 4-338-9933,
Ahmad Ramadhan Juma Group,Conglomerates,UAE,Dubai,info@arjgroup.com,www.arjgroup.com,P.O.Box 2574,Tel: +971 4-338-9922,
,,,,,,,Fax: +971 4-338-9933,
Ahmed Seddiqi and Sons,Consumer Goods,UAE,Jebel Ali,contact@ahmedseddiqi.com,www.ahmedsaddiqi.ae,Jebel Ali Free Zone,Tel: +971 4-887-1234,
,,,,,,P.O.Box 2123,Fax: +971 4-222-7609,
,,,,,,,Fax: +971 4-353-4386,
Aikah Establishment for General Trading,Industrial Manufacturing,UAE,Dubai,aikah@emirates.net.ae,www.aikah.com,P.O.Box 5804,Tel: +971 4-347-8005,
,,,,,,,Fax: +971 4-347-8006,
Air Arabia,Transport,UAE,Sharjah,contactus@airarabia.com,www.airarabia.com,Cargo Terminal,Tel: +971 6-508-8888,
,,,,sales@airarabia.com,,Sharjah International Airport,Tel: +971 6-558-0000,
,,,,,,P.O.Box 132,Fax: +971 6-558-0008,
Air Gulf Falcon,Transport,UAE,Sharjah,admin@air-gulffalcon.com,,Sharjah International Airport Free Zone,Fax: +971 6-5570516,
